FentyMascara,,,,,,,,
web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,Date,UserID,ReviewText
1738781940-1,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,my new obsession,6 d ago,Melissstark,"i rarely write beauty reviews, because sadly i’m rarely impressed. 
so so so impressed. by far the best mascara i’ve ever used!!"
1738781940-2,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,4 of 5,7 d ago,lilycavv,"I was super excited to try this product. First application, I loved the wand to apply the product. It didn’t win me over first try, I didn’t like the way my eyelashes looked at first. Then as I continued to apply it after a few days I did seek to like it more and more. It made my eyelashes look full. One thing to note, this mascara is NOT waterproof."
1738781940-3,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,love it,7 d ago,lianamarie1,"I love it, made my lashes look like falsies. Only thing is, it does hold my lashes up but only after I went back in with my lash curler. When its first applied it will weigh your lashes down and you will have to go in and curl them again, if you're looking for something that will hold without having to go back in with your lash curler I don't suggest this for you, but i think it's a good product."
1738781940-4,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Super nice mascara,7 d ago,burningisis,I really like using this mascara it doesn’t flake off and it gives a good natural thickness. I have used this on both lashes and natural lashes and it is good on both.
1738781940-5,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Must have!,7 d ago,BrightonSkye,"Makes my lashes fuller, longer, more voluminous. Easy to apply, the wand is fantastic. No gross clumps! My only issue is as a person with light colored eyes I squint and blink a lot and need waterproof to avoid raccoon eyes."
1738781940-6,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Great mascara,8 d ago,BLynee,"Love this mascara it’s got volume, proper thickness, and color also lasts all day and washes off gently. The one thing about it to love is the super softness!"
1738781940-7,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Great for straight lashes,9 d ago,alambchop,"Great for straight lashes hesitant to curl. I normally have to get waterproof otherwise wetter formulas weight down my lashes, but I like this formula and it’s easy to take off at the end of the day."
1738781940-8,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,12 d ago,robweezy,I only gave 4 stars because it tends to transfer after application. It has amazing length and volume I was very impressed with the way it separated each lash and it looked beautiful
1738781940-9,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Little heavy but good,12 d ago,Sassyitgirl,I have long lashes but they are very thin. So any mascara that is heavy makes me look like a raccoon very quickly.  This mascara is a bit on the heavier side but didn’t cause the issue.  I would use it again. I’m a big fan of Rihanna’s product line.
1738781940-10,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,12 d ago,loreleikitiara,This mascara was good it is super black and makes your eyelashes look really long and full the only problem I had with it was it smudging if I put it on my lower lash line so I just put it on the upper lash line
1738781940-11,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,12 d ago,BreonnaM,"PERFECTTTTT, gives lashes the best volume that no mascot could ever give. Not runny at all either"
1738781940-12,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Does the job very well!,14 d ago,SCLuv,Lengthens and thickens.  I’d buy it again. Doesn’t clump but you need a good remover to get rid of it.
1738781940-13,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Hella thicc,14 d ago,StefsOpinion,"Cute and simple packaging. Priced well for a known brand, won't break the bank. Works pretty well, thickens and lengthens lashes nicely. Can be a little clumpy when applying, but if you have a spare clean brush, you can smooth the clumps out. Worth buying if you want hella thic lashes."
