web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,ReviewText,Date,Title,UserID
1738799716-1,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"this is my first ever huda beauty product, and i like it a lot more than i thought i would! first, i got the baby pink color which i was worried would be too light for my skin, but it blends in very well. a little goes a long way! the packaging is very cute, applicator is great, and i definitely wasn’t expecting there to be a scent, but there is a slight sweet scent which i like. overall, very happy with my purchase (this is my first ever sephora review too, i liked it that much :D)",1 d ago,pleasantly surprised!!,kookie12
1738799716-2,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,All seasons color! It makes you look calm very bronzed yet works perfectly as a blush too a little red? But it has a really nice glow,1 d ago,,klara123
1738799716-3,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I am so confused because this product has such amazing reviews but I found it dry and hard to blend which made it really blotchy, am I doing something wrong?!",2 d ago,,MaryMus1
1738799716-4,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I absolutely love the color and finish. I agree that its easy to blend (at least this color is i haven’t tried another color). I love everything about this blush, the applicator, the subtle scent, the pigmentation.Don’t think about it. Just but it.",2 d ago,The perfect everyday pink,mesmerizedeyes
1738799716-5,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I recently tried the Huda Beauty Blush Filter, and I have to say—it’s a game-changer. The formula is super lightweight, blends effortlessly, and gives my skin that perfect soft-focus glow. A little goes a long way, so I had to be careful not to overdo it, but once I got the right amount, it looked incredibly natural and fresh. I love how buildable it is, making it easy to go from a subtle flush to a more intense pop of color. Plus, the micro-pearls give it that radiant, dewy finish without looking greasy. If you’re into that healthy, glowing skin vibe, this one’s definitely worth trying!",3 d ago,Just love it,
1738799716-6,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"The colour is absolutely stunning, gives the perfect sunkissed glow. This product blends like a dream - for someone who isn’t very ‘makeup forward’, I appreciate how easy this is to apply. The radiance and dewy finish lasts all day. LOVE -‘s would recommend to anyone!",3 d ago,MUST HAVE,cecegogo
1738799716-7,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Such a beautiful pink! This is probably my 15th baby pink blush and I think this is my favorite! 
I only wish Huda would stop it with the intense fragrance in their products 😩",3 d ago,In love with the color,Lauriksr
1738799716-8,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Love the formula. So easy to work with. This color is really unique as well. Would love to see more colors!,4 d ago,"Great formula, unique color",LaurenPBK
1738799716-9,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"First liquid blush I’ve ever liked!  Easy to blend, great color payoff, long lasting!  Definitely high quality, as usual with Huda Beauty.",4 d ago,Excellent!,Texas92
1738799716-10,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I never thought, I would give Electric Lilac a try, and I am glad I did. I love the way this looks on me.This is such a cute color, It looks like a baby pink on my skin. I bought a backup one, because I know I will get some use of this.",4 d ago,I'm glad I got this,Syephanopolis
