web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,ReviewText,UserID,Date
"1738806769-1","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Bad formula","Love the color but this thing broke within the first week and I didn’t even drop it. All I did was set it down on my table while I was blending and it broke on the spot. Very sad formula unfortunately and also hard to work with as it doesn’t blend out too good without very careful technique and carefulness","SalmaElnady","2 h ago"
"1738806769-2","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","","Pros: very pigmented, love the color
Cons: so much fallout! Color goes on too strong even after tapping my brush. I looked like a clown and have to dab a lot off with a napkin.","carleebird","18 h ago"
"1738806769-3","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","The best","I love using it very much. I have fair skin and it suits my face perfectly. I don't need to use highlighter.","","1 d ago"
"1738806769-4","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","","I love this blush!!!! it’s so cut and works well on my skin, the product can break when you open it but i’ve been really careful and it hasn’t broken yet!! it is kinda sparky though but i still love it so much!!","Abigail2025","2 d ago"
"1738806769-5","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Intense Colour","This is the most intense blush I have ever used. One single tap of colour and then tapping/blowing excess off is more than enough. I was shocked at the colour intensity. It’ll last forever at least lol. This colour wears pink with definitely peach tones on my pale skin.","Samwalita","3 d ago"
"1738806769-6","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","It broke without dropping","Had this product for maybe a a month and a half and it always stayed in my makeup bag until one day I tried using it as a mirror but it was broken :( it was unexpected for me because I couldn't figure out what could've caused it to break. Bought it in store

It was a great product, very pigmented and super pretty shade. Shiny finish. A little goes a long way","KJCB","3 d ago"
"1738806769-7","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Much to fragile!","The actual product is lovely. The issue is how easily it breaks! I have had THREE of these blushes break; one in shipping and two during everyday use.  Sephora would not replace the two broken outside of the shipping process and suggested I contact Rare Beauty. Rare Beauty referred me back to Sephora.  I do not recommend this product due to how fragile it is.","Lorisnn","3 d ago"
"1738806769-8","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","breaks so easily","nice color but breaks sooo easily! broke twice now. not worth the price and small amount too. dissapointed","summerlove1222","3 d ago"
"1738806769-9","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Disappointed","It was broken when I received it in the mail so I’m super upset","allie0073","3 d ago"
"1738806769-10","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Just not for me..","This blush is very pigmented, which is not for me, but fortunately, if you love pigmentation, this is the product for you… I must know that this plus is very delicate one time I bent over and half of the product broke and fell out of the pan, which is super disappointing, if you were to buy this product, just be very gentle but other than that, the formula is great and it’s not patchy whatsoever ￼","Leticiaa25","4 d ago"
"1738806769-11","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Breaks very easily","Breaks soo easily! Too bad because it's such a pretty color and has good payoff but the way it's pressed into the compact is horrible and it breaks super easily! Will not be buying again!","SkinLovinNurse","4 d ago"
"1738806769-12","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","","I purchased this last year and only got around to using it twice before it broke. Very disappointed.","freyaash","4 d ago"
"1738806769-13","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","Looks good, feels good","I love the product, its beautiful! But the colour I chose is too dark for my skin tone. Its very pigmented and a little goes a long ways","Brittsie","5 d ago"
"1738806769-14","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","This is a must in my makeup routine 😍","AMAZING👏!!!! this is a 10 out of 10!!! this is a simmering blush!!! Selena gomez slayed on this product 😍 ✨️ 🙌  it is also very soft","helloPookierat","5 d ago"
"1738806769-15","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product","2.7K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-luminous-powder-blush-P509960?skuId=2748333&icid2=products%20grid:p509960:product#ratings-reviews-container","","I use this everyday. I’m not using anything else!","I much rather use this product than her liquid blush. I feel that it is a lot prettier. Also adds a highlighter to your cheeks! Which I love! I bought this about a year ago and am just now running out.","terikm","6 d ago"
