web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,ReviewText,UserID,Date
"1738805413-1","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","","My all time favourite lip balm it is actually very hydrating and it stays on for whole day I never reapply it because you dont need to","bhupi","5 h ago"
"1738805413-2","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","My new favorite lip product","This is my new favorite lip product!!! It goes on so smooth and has just the right amount of color. Great for a neutral floor or full glam over a lip stain. Not leaving the house without it!!!","SenecaGrace","8 d ago"
"1738805413-3","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Hydrating, Beautiful Color, and Practical Design!","I love it! It’s super hydrating, and the color is beautiful. My lips are always dry, but as soon as I apply this product, they feel moisturized, and the coverage is customizable. It doesn’t last all day, but it does last much longer than similar products. Personally, I love the flat side because you can set it down anywhere, and it won’t roll away.","tinicb","9 d ago"
"1738805413-4","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","","I LOVE IT!!! It was a little darker than expected but I still like it.","cheercat","10 d ago"
"1738805413-5","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","","love this lip gloss. Beautiful color. But it ran out so fast((","MarynaMore","11 d ago"
"1738805413-6","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Adds the perfect tint","I’ve gone through at least 8 of these. These are so good. They’re at the perfect amount of gloss where it’s non sticky and can go great without and with lip liner! this shade matches my lip tone perfectly and adds the perfect amount of tint that it needs","sunnkenrat","13 d ago"
"1738805413-7","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Always in my bag!","I love this product so much! It goes so well with my skin tone and it smells lovely and stays for long!","Freedahh11","14 d ago"
"1738805413-8","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Must have lip gloss!!!","This is by far my fav lip gloss! I love the coral color and the texture, it leaves my lips look great and feel great! Only thing I don’t 100% love is the smell, hut that doesn’t bother me! Totally recommend!!!","Brook44308","14 d ago"
"1738805413-9","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","","It leaves a soft feeling on the lips, fairly hydrating and lasts long. Nearly Apricot is my favorite shade, but the other ones are just as beautiful- Nearly Apricot gives “your lips but better”. A must have in my purse!","greengnome2569","16 d ago"
"1738805413-10","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Beautiful colour","I love the shade! I’m just knocking off a star because it doesn’t last the full day. I still love it and will buy again. It’s my favourite gloss.","AshkeyRose","17 d ago"
"1738805413-11","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","So pretty","I love this lipgloss it feels so nice on and is such a pretty color. It is also very moisturizing.","Brookesss","21 d ago"
"1738805413-12","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","A workday hero","I usually walk out the door with some lipstick on but then I apply this glossy lip balm throughout the work day, usually at least twice. It truly does protect the lips from dryness! I did a lot of research before purchasing a product like this and chose this one initially because the reviews said the packaging doesn't leak. I can confirm: it doesn't! Pretty ~rare~ for lip glosses not to leak. I also really like the Nearly Apricot color, which leans more pink than orange. I'll probably pick up the rose one for summer. Wish there was a red!","DesiWoman","21 d ago"
"1738805413-13","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","New favorite lipgloss!","Very moisturizing and not sticky. When my lips are dry this is perfect!","jrock7866","22 d ago"
"1738805413-14","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Stunning","Not sticky, beautiful color, soft of the lips. Love it","LCSeph","24 d ago"
"1738805413-15","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","Perfect Gloss and Hydration in One","I’m absolutely in love with this glossy lip balm! It’s the perfect balance of hydration and shine. The formula is super smooth, and it glides on effortlessly, giving my lips a gorgeous, natural shine without being too sticky. It keeps my lips moisturized for hours, and I love that it doesn’t feel heavy or greasy. The subtle, glossy finish adds a touch of glamour, making it ideal for both everyday wear and special occasions. Plus, it has a very mild, pleasant scent that I adore. If you're looking for a lip balm that hydrates while providing a lovely glossy look, this is a must-have!","sanskan","27 d ago"
"1738805413-16","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","ok","very nice and subtle color, but leaves your lips sticky.","bluejasmine21","29 d ago"
"1738805413-17","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product","1.1K","https://www.sephora.com/product/rare-beauty-by-selena-gomez-stay-vulnerable-glossy-lip-balm-P467449?skuId=2867737&icid2=products%20grid:p467449:product#ratings-reviews-container","","","Really nice colour especially for the winter. Sometimes it can be very sticky however it’s a really nice colour","Al7ki9","3 Jan 2025"
