web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,ReviewText,Date,Title,UserID
"1738785631-1","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It’s overall a good product but, INSANELY difficult to blend. The pigment is spot on though. The packaging is okay but it leaks into the cap.","22 d ago","Read before you buy","preppy777"
"1738785631-2","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The tube only consists half of the product, rest is air that gets squeezed out. The applicator isn’t practical on its own and you would need a beauty blender or brush. It’s not as pigmented as I hoped, as it took many taps to see the color on my cheek. Otherwise the shade is really pretty and texture is creamy.","5 Jan 2025","Almost Just Air","Cantarella"
"1738785631-3","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The MOST underhyped blush imo. Not only is it beautiful creamy, not too matte, but it STAYS. Don’t be intimidated by the “matte” description. Blends out beautifully too. Also, my wand lasted me a YEAR.","5 Jan 2025","Buy it. Try it. Love it.","danik8718"
"1738785631-4","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Love this color on me worked so well. Easy to blend out. The price tho… I just wish it wasn’t so expensive. The wand it great. just make sure not to squeeze so hard or to much will come out.","4 Jan 2025","Great color! Not so bad.","Lunacuttie3"
"1738785631-5","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Love this blush!Easy to blend and beautiful packaging!But the colour on the packaging doesn’t match what it looks like on skin.","28 Dec 2024","","bkahhj"
"1738785631-6","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","bad bad bad. this product is such a waste of your money! first of all, it comes with less than half of the tube filled up and not only that, it exploded everywhere after a week I got it. blush feels oily and doesn’t look matte at all. DONT WASTE YOUR MONEY","8 Dec 2024","HORRIBLE","queengirl198"
"1738785631-7","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I like the pigment but can’t recommend you spend money on something that’s going to goop out all over the place. The way the packaging is, makes it very difficult to save your product. It leaks out inside the cap and outside because it has a twist too. It also looses a LOT of product if you decide to take it on the plane because of the pressure. There will be nothing you can do other than maybe save it in a different container but risk for contamination. Overall I’d love to see the formula in a different packaging because it’s pigmented and lasts but it also needs to be applied over maybe not liquid foundation because I found it took some of it off as I tried blending it in and it left patches on my amface.","29 Nov 2024","Like the formula but packaging wastes product!",""
"1738785631-8","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The perfect shade of pink. I can’t stop using this daily!","20 Nov 2024","Perfect color for light to medium skin","itssjazminn"
"1738785631-9","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","You can sheer out the pigment a lot and get a really natural look--this shade is actually really close to my natural flush. It's a bit unforgiving in terms of how soon after applying that you need to blend it out, though, otherwise it will look patchy, but the application is mostly great","12 Nov 2024","","viiiix"
"1738785631-10","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I didn't care for the performance of this product.  It doesn't blend out very well on the skin, a bit streaky.   Also, the packaging seems cheap and the product leaks.  I would not repurchase.  There are many better products out there.","11 Nov 2024","","colormepharose"
"1738785631-11","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Ugly color
Did not blend well and product tube is horrible.","10 Nov 2024","","uma859"
"1738785631-12","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I love the product but the bottle came half empty with the blush","7 Nov 2024","","IlILOVESCHOOL"
"1738785631-13","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I’m convinced that people who complain are not using the product correctly. This has never dried down fast, never spilled out the container,  I’m almost done with mine and the packaging still looks like new. I log the pigmentation literaFOEVEREEERR of this product and it last","25 Oct 2024","Puuurrrfect !!!!","Vaam"
"1738785631-14","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","i love this! it is such a cute color and easily blendible and is great for natural looks!","20 Oct 2024","",""
"1738785631-15","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I used this product consecutively for a couple weeks because I was that obsessed with this cream blush. I even used it on my eyes as well. It’s a multi use product. I get compliments on it all the time!","17 Sep 2024","Yall! Buy this must have product","beaurevu"
